name,host,survey,m_g,g_r,converted_from_gi,dist_mpc,dist_sbf_mpc
dw1239p3230,NGC4631,ELVES (Carlsten+22),18.27,0.3200000000000003,False,7.4,7.32
dw1239p3251,NGC4631,ELVES (Carlsten+22),20.25,0.5,False,7.4,5.93
dw1240p3216,NGC4631,ELVES (Carlsten+22),18.98,0.490000000000002,False,7.4,6.68
dw1240p3247,NGC4631,ELVES (Carlsten+22),16.32,0.6099999999999994,False,7.4,7.11
dw1241p3251,NGC4631,ELVES (Carlsten+22),15.71,0.14000000000000057,False,7.4,6.21
NGC4627,NGC4631,ELVES (Carlsten+22),12.86,0.35999999999999943,False,7.4,
dw1242p3237,NGC4631,ELVES (Carlsten+22),19.16,0.3000000000000007,False,7.4,7.18
dw1242p3158,NGC4631,ELVES (Carlsten+22),19.2,0.48999999999999844,False,7.4,7.06
dw1243p3228,NGC4631,ELVES (Carlsten+22),16.75,0.4400000000000013,False,7.4,8.07
NGC4656,NGC4631,ELVES (Carlsten+22),,,False,7.4,
dw1248p3158,NGC4631,ELVES (Carlsten+22),17.13,0.4299999999999997,False,7.4,7.55
dw1231p4205,NGC4736,ELVES (Carlsten+22),17.58,0.2799999999999976,False,4.2,
IC3687,NGC4736,ELVES (Carlsten+22),13.29,0.28999999999999915,False,4.2,
dw1243p4127,NGC4736,ELVES (Carlsten+22),16.33,0.35999999999999766,False,4.2,
dw1243p4339,NGC4736,ELVES (Carlsten+22),16.96,0.38000000000000256,False,4.2,
dw1249p4421,NGC4736,ELVES (Carlsten+22),16.9,0.23999999999999844,False,4.2,
dw1251p4138,NGC4736,ELVES (Carlsten+22),18.45,0.4800000000000004,False,4.2,
dw1255p4035,NGC4736,ELVES (Carlsten+22),18.79,0.6999999999999993,False,4.2,
UGC7929,NGC4826,ELVES (Carlsten+22),15.93,0.4499999999999993,False,5.3,
IC3840,NGC4826,ELVES (Carlsten+22),15.87,0.1999999999999993,False,5.3,
dw1252p2215,NGC4826,ELVES (Carlsten+22),19.86,0.5300000000000011,False,5.3,5.42
dw1255p1912,NGC4826,ELVES (Carlsten+22),16.0,0.07000000000000028,False,5.3,
dw1258p2329,NGC4826,ELVES (Carlsten+22),19.14,0.46000000000000085,False,5.3,6.08
dw1300p1843,NGC4826,ELVES (Carlsten+22),17.89,0.620000000000001,False,5.3,3.38
IC4107,NGC4826,ELVES (Carlsten+22),16.26,0.5200000000000014,False,5.3,4.63
dw1310p4153,NGC5055,ELVES (Carlsten+22),19.12,0.5600000000000023,False,8.87,7.38
dw1312p4158,NGC5055,ELVES (Carlsten+22),19.62,0.5400000000000027,False,8.87,9.26
dw1312p4032,NGC5055,ELVES (Carlsten+22),14.46,0.33000000000000007,False,8.87,
UGCA337,NGC5055,ELVES (Carlsten+22),15.25,0.6099999999999994,False,8.87,7.58
dw1313p4202,NGC5055,ELVES (Carlsten+22),17.99,0.5399999999999991,False,8.87,8.78
UGC8313,NGC5055,ELVES (Carlsten+22),14.12,0.4499999999999993,False,8.87,8.77
dw1315p4123,NGC5055,ELVES (Carlsten+22),20.71,0.5,False,8.87,8.8
dw1315p4130,NGC5055,ELVES (Carlsten+22),17.67,0.490000000000002,False,8.87,9.65
dw1321p4226,NGC5055,ELVES (Carlsten+22),20.11,0.5500000000000007,False,8.87,7.3
dw1328p4703,NGC5194,ELVES (Carlsten+22),20.38,0.5599999999999987,False,8.58,8.35
NGC5195,NGC5194,ELVES (Carlsten+22),,,False,8.58,
dw1330p4731,NGC5194,ELVES (Carlsten+22),20.54,0.35999999999999943,False,8.58,11.49
dw1350p5441,NGC5457,ELVES (Carlsten+22),17.2,0.4299999999999997,False,6.5,6.27
UGC8837,NGC5457,ELVES (Carlsten+22),13.26,0.40000000000000036,False,6.5,
UGC8882,NGC5457,ELVES (Carlsten+22),14.96,0.5045751633986929,True,6.5,6.95
dw1403p5337,NGC5457,ELVES (Carlsten+22),18.15,0.288888888888889,True,6.5,7.58
