M33            M31      23.4583  30.6603 205.8                              -18.84 0.10  9.51 0.22 25.46 0.60               False True  1.00      MCCONN
NGC3077        M81     150.8296  68.7339  48.7 10.13 0.08  9.58 0.09 -17.66 -17.98 0.09  9.27 0.13 16.47 0.11  1144.8  53.6 False True  1.00 gr   DECALS
NGC2976        M81     146.8146  67.9164  86.8 10.36 0.08  9.73 0.09 -17.43 -17.79 0.09  9.30 0.13 19.87 0.11  1266.2  59.4 False True  1.00 gr   DECALS
IC2574         M81     157.1413  68.4328 192.7 11.12 0.08 10.76 0.09 -16.66 -16.88 0.09  8.54 0.13 22.72 0.11  3286.6 154.8 False True  1.00 gr   DECALS    yes
ddo82          M81     157.6524  70.6183 214.0 12.90 0.08 12.32 0.09 -14.88 -15.22 0.09  8.21 0.13 21.62 0.11  1055.6  50.4 False True  1.00 gr   DECALS
kdg61          M81     149.2612  68.5917  31.0 14.95 0.09 14.30 0.09 -12.84 -13.22 0.09  7.51 0.13 23.74 0.11  1001.5  50.4 True  True  1.00 gr   DECALS
BK5N           M81     151.1679  68.2556  73.0 16.87 0.09 16.28 0.09 -10.91 -11.26 0.09  6.65 0.13 24.73 0.12   456.6  27.0 True  True  1.00 gr   DECALS
IKN            M81     152.0246  68.3992  83.1 14.07 0.09 13.54 0.09 -13.71 -14.03 0.09  7.67 0.12 23.69 0.11  1144.9  55.9 True  True  1.00 gr   DECALS    yes
FM1            M81     146.2917  68.7650  61.8 15.90 0.09 15.23 0.09 -11.89 -12.28 0.09  7.17 0.13 24.49 0.11   749.4  40.1 True  True  1.00 gr   DECALS
kdg64          M81     151.7579  67.8275 102.4 14.77 0.09 14.11 0.09 -13.02 -13.40 0.09  7.60 0.13 23.15 0.11   956.5  47.8 True  True  1.00 gr   DECALS
f8d1           M81     146.1962  67.4386 120.2 16.42 0.09 15.88 0.09 -11.37 -11.68 0.09  6.73 0.13 26.22 0.11  1019.7  57.2 True  True  1.00 gr   DECALS    yes
d1014p68       M81     153.7325  68.7575 111.5 18.89                  -8.90  -9.10 0.11  5.61 0.22 27.29 0.15   344.8  30.2 True  True  1.00      CH09/CH13
KK77           M81     147.5417  67.5067 103.1 15.18 0.09 14.41 0.09 -12.61 -13.06 0.09  7.63 0.13 24.25 0.11   954.2  48.6 True  True  1.00 gr   DECALS
kdg63          M81     151.2804  66.5550 168.2 15.01 0.09 14.35 0.09 -12.78 -13.17 0.09  7.51 0.13 23.72 0.11   716.2  36.2 True  True  1.00 gr   DECALS
d0958p66       M81     149.7021  66.8497 141.0 15.42 0.09 15.03 0.09 -12.37 -12.59 0.09  6.87 0.13 21.56 0.11   228.8  11.8 False True  1.00 gr   DECALS
ddo78          M81     156.6163  67.6567 200.3 13.87 0.09 13.25 0.09 -13.92 -14.28 0.09  7.89 0.12 24.26 0.11  1395.9  67.8 True  True  1.00 gr   DECALS
d1028p70       M81     157.1654  70.2336 195.7 15.53 0.09 15.19 0.09 -12.26 -12.46 0.09  6.74 0.13 21.74 0.11   303.0  15.8 False True  1.00 gr   DECALS
d0955p70       M81     148.8067  70.4081  84.6 18.39                  -9.40  -9.60 0.10  5.83 0.22 26.46 0.13   325.5  25.2 True  True  1.00      CH09/CH13
d1041p70       M81     160.3200  70.1508 260.1 18.89                  -8.90  -9.10 0.11  5.61 0.22 26.16 0.15   190.8  16.7 True  True  1.00      CH09/CH13
HS117          M81     155.3550  71.1161 189.6 16.47 0.09 15.87 0.09 -11.32 -11.67 0.09  6.82 0.13 24.37 0.11   558.7  31.5 True  True  1.00 gr   DECALS
d0944p71       M81     146.1433  71.4825 163.2 15.93 0.09 15.25 0.09 -11.85 -12.25 0.09  7.17 0.13 23.49 0.11   399.8  21.4 True  True  1.00 gr   DECALS
d0926p70       M81     141.6163  70.5067 182.5 18.39                  -9.40  -9.60 0.10  5.83 0.22 25.73 0.13   250.3  19.4 False True  1.00      CH09/CH13
HO1            M81     145.1346  71.1864 156.0 13.46 0.09 13.13 0.09 -14.33 -14.53 0.09  7.56 0.12 24.08 0.11  1470.3  70.8 False True  1.00 gr   DECALS
d0934p70       M81     143.5154  70.2158 138.3 17.59 0.10 17.18 0.10 -10.20 -10.44 0.10  6.03 0.13 25.58 0.12   489.2  32.3 True  True  1.00 gr   DECALS
dw1000m0741    NGC3115 150.0039  -7.6875 230.2 17.46 0.09 16.87 0.10 -12.59 -12.93 0.10  7.30 0.13 23.53 0.12   611.5  40.1 True  True  1.00 gr   DECALS
dw1000m0821    NGC3115 150.0436  -8.3574 250.3 15.87 0.09 15.29 0.09 -14.18 -14.51 0.09  7.91 0.13 21.87 0.11   957.7  50.9 True  True  1.00 gr   DECALS
dw1000m0831    NGC3115 150.2289  -8.5305 238.9 20.30 0.15 19.77 0.14  -9.75 -10.05 0.15  6.06 0.17 25.02 0.21   418.8  62.6 True  True  1.00 gr   DECALS
dw1001m0631    NGC3115 150.3901  -6.5249 267.4 15.70 0.09 15.37 0.09 -14.35 -14.54 0.09  7.55 0.13 22.72 0.11   911.4  48.0 False True  1.00 gr   DECALS
dw1001m0814    NGC3115 150.4092  -8.2487 184.5 14.82 0.09 14.42 0.09 -15.22 -15.46 0.09  8.03 0.13 21.72 0.11  1422.4  71.3 False True  1.00 gr   DECALS
dw1002m0818    NGC3115 150.5043  -8.3100 176.5 20.09 0.14 19.50 0.13  -9.96 -10.30 0.15  6.24 0.16 24.11 0.20   271.3  34.0 True  True  1.00 gr   DECALS
dw1002m0642    NGC3115 150.6570  -6.7083 213.5 21.00 0.19 20.54 0.19  -9.04  -9.31 0.19  5.65 0.21 25.98 0.29   324.4  54.8 True  True  1.00 gr   DECALS
dw1004m0737    NGC3115 150.9948  -7.6409  57.0 18.92 0.11 18.42 0.11 -11.12 -11.42 0.11  6.57 0.14 25.92 0.14   979.4  89.3 True  True  1.00 gr   DECALS
dw1004m0657    NGC3115 151.1572  -6.9585 137.9 19.10 0.12 18.53 0.12 -10.94 -11.28 0.13  6.63 0.14 25.63 0.17   713.9  71.9 True  True  1.00 gr   DECALS
dw1005m0744    NGC3115 151.3961  -7.7498  16.5 15.73 0.09 15.13 0.09 -14.32 -14.67 0.09  8.02 0.13 23.04 0.11  1150.0  60.4 True  True  1.00 gr   DECALS
dw1005m0758    NGC3115 151.4233  -7.9817  51.0 13.03 0.08 12.32 0.09 -17.01 -17.42 0.09  9.28 0.13 20.55 0.11  1488.3  74.7 True  True  1.00 gr   DECALS
