dw1231p4205    NGC4736 187.7873  42.0942  19.09 0.05  19.29 0.05 NGA_NGC4490
IC3687         NGC4736 190.5626  38.5034  14.72 0.05  14.89 0.05 GI1_047079_IC3687
dw1243p4127    NGC4736 190.9798  41.4575  18.71 0.05  19.35 0.05 NGA_NGC4625
dw1243p4339    NGC4736 190.9898  43.6618  19.32 0.11  20.68 0.49 AIS_107_1_09
dw1249p4421    NGC4736 192.3797  44.3595  18.70 0.07  18.82 0.13 AIS_103_1_96
dw1251p4138    NGC4736 192.7698  41.6353  21.62 0.15 >23.17      NGA_NGC4736
dw1255p4035    NGC4736 193.7615  40.5902 >21.46      >21.13      AIS_108_1_65
UGC7929        NGC4826 191.3366  21.4271  18.91 0.11  19.42 0.26 AIS_222_1_87
IC3840         NGC4826 192.9417  21.7349  17.33 0.05  17.43 0.07 AIS_219_1_12
dw1252p2215    NGC4826 193.0237  22.2654 >21.80      >22.07      AIS_219_1_11
dw1255p1912    NGC4826 193.9210  19.2096  17.89 0.06  18.40 0.11 AIS_219_1_32
dw1258p2329    NGC4826 194.7139  23.4899 >21.16      >21.25      AIS_219_1_18
dw1300p1843    NGC4826 195.1295  18.7177  20.42 0.63 >20.38      AIS_219_1_52
IC4107         NGC4826 195.6741  21.9979  19.71 0.24 >20.71      AIS_219_1_28
dw1310p4153    NGC5055 197.6743  41.8908 >21.71      >21.67      AIS_108_1_43
dw1312p4158    NGC5055 198.0772  41.9755 >21.80      >21.84      AIS_108_1_43
dw1312p4032    NGC5055 198.2159  40.5432  16.39 0.05  16.68 0.05 GI4_095027_CGCG217_018
UGCA337        NGC5055 198.2440  41.7864  18.81 0.05  20.32 0.12 NGA_NGC5055
dw1313p4202    NGC5055 198.4161  42.0431  21.56 0.15 >22.92      NGA_NGC5055
UGC8313        NGC5055 198.4754  42.2092  16.15 0.05  16.54 0.05 NGA_NGC5055
dw1315p4123    NGC5055 198.8158  41.3967 >21.83      >22.13      AIS_108_1_42
dw1315p4130    NGC5055 198.8742  41.5022  20.85 0.12 >22.69      NGA_NGC5055
dw1321p4226    NGC5055 200.3708  42.4334 >22.80      >22.53      AIS_108_1_31
KK189          CENA    198.1875 -41.8319 >20.03      >19.85      AIS_472_1_19
ESO269-066     CENA    198.2875 -44.8900  17.31 0.16 >18.70      AIS_472_1_50
NGC5011C       CENA    198.2958 -43.2656  17.12 0.05  18.30 0.09 GI3_087010_NGC5011
KK196          CENA    200.4458 -45.0633  17.98 0.08  18.48 0.21 AIS_472_1_59
KK197          CENA    200.5042 -42.5356 >18.49      >17.98      AIS_472_1_37
KKS55          CENA    200.5500 -42.7308 >18.84      >18.35      AIS_472_1_37
CENA-MM-DW4    CENA    200.7583 -41.7861 >19.82      >19.54      AIS_472_1_36
dw1323-40b     CENA    201.0000 -40.8367 >19.87      >19.46      AIS_472_1_26
