0954-52405-081 181.56186 +58.97298 J120614.81+585822.6
0955-52409-608 186.27255 +61.15314 J122505.41+610911.2
0972-52435-370 254.68539 +35.32306 J165844.42+351923.1
0976-52413-600 258.15263 +32.27595 J171236.63+321633.4
0978-52441-118 259.72268 +30.19339 J171853.44+301136.1
1043-52465-308 205.71603 +52.70849 J134251.85+524230.5
1046-52460-329 216.35391 +51.55404 J142524.93+513314.5
0848-52669-189 193.30962 +04.46359
0876-52669-175 163.29509 +50.28145 J105310.80+501653.0
0894-52615-185 126.22139 +39.11087 J082453.13+390639.1
0899-52620-594 138.64564 +47.03534 J091434.94+470207.2
0900-52637-348 138.82348 +48.66622 J091517.63+483958.2
0934-52672-369 131.64333 +36.43912 J084634.40+362620.8
0937-52707-425 136.81194 +38.95117 J090714.85+385703.9
0941-52709-109 147.04125 +42.95377 J094809.89+425713.4
0943-52376-631 154.11758 +45.32156 J101628.22+451917.7
0964-52646-570 167.32521 +49.79826 J110918.05+494753.7
0967-52636-244 174.70364 +48.62724 J113848.87+483738.0
0967-52636-339 173.69050 +50.10092 J113445.71+500603.2
0999-52636-517 158.36887 +07.13382 J103328.52+070801.8
1010-52649-150 162.27100 +52.33551 J104905.03+522007.7
1010-52649-328 159.68691 +53.50145 J103844.86+533005.2
1012-52649-392 167.41444 +54.16866 J110939.46+541007.1
1014-52707-254 171.88611 +53.91513 J112732.66+535454.4
1015-52734-003 175.88794 +53.50019 J114333.10+533000.6
1018-52672-518 182.11747 +55.42387 J120828.19+552525.9
1019-52707-260 183.51035 +53.75484 J121402.47+534517.4
1039-52707-119 196.86959 +54.44713 J130728.69+542649.6
1043-52465-308 205.71603 +52.70849 J134251.85+524230.5
1047-52733-064 221.83762 +48.90129 J144721.02+485404.6
1048-52736-424 222.73580 +48.62397 J145056.59+483726.3
1049-52751-445 225.35390 +48.10772 J150124.93+480627.7
1050-52721-274 227.28769 +45.71912 J150909.03+454308.8
1050-52721-402 228.05357 +47.27519 J151212.85+471630.7
1158-52668-062 209.96216 +57.43971 J135950.92+572622.9
1164-52674-298 223.67900 +52.42915 J145442.96+522544.9
1171-52753-376 243.97971 +42.10683 J161555.12+420624.5
1185-52642-123 125.89519 +03.22102 J082334.84+031315.6
1194-52703-397 137.61992 +07.18832 J091028.78+071117.9
1201-52674-168 139.38016 +41.99365 J091731.22+415936.8
1214-52731-142 142.02633 +38.13248 J092806.23+380757.0
1216-52709-619 148.93984 +41.57496 J095545.56+413429.8
