0394-51913-472 1.5664 0.0614 7.79 0.04 -1.43 0.07 -0.81 0.07 -1.66 0.12 -2.40 0.13 -3.54 0.64 -1.71 0.44
0395-51783-348 0.9650 0.2347 8.42 0.28 -1.10 0.35 -0.72 0.57 -1.69 0.43 -2.47 0.34 -3.10 0.50 -1.99 0.58
0398-51789-294 0.9430 0.0904 8.40 0.11 -1.37 0.14 -0.63 0.22 -1.66 0.17 -2.37 0.14 -3.40 0.26  0.00 0.00
0399-51817-140 1.3381 0.0602 7.96 0.04 -1.50 0.06 -0.73 0.08 -1.57 0.09 -2.40 0.06  0.00 0.00 -1.75 0.20
0399-51817-324 0.9928 0.1304 8.32 0.14 -1.30 0.18 -0.78 0.29 -1.70 0.23 -2.36 0.18  0.00 0.00  0.00 0.00
0405-51816-365 1.1095 0.1232 8.21 0.11 -1.33 0.14 -0.71 0.22 -1.58 0.18 -2.40 0.14  0.00 0.00  0.00 0.00
0407-51820-509 0.9462 0.1340 8.47 0.16 -1.36 0.20 -0.60 0.33 -1.71 0.27 -2.56 0.20  0.00 0.00  0.00 0.00
0407-51820-542 1.0298 0.1149 8.35 0.12 -1.39 0.15 -0.68 0.24 -1.62 0.21 -2.53 0.15  0.00 0.00 -1.85 0.33
0409-51871-033 1.1266 0.0918 8.17 0.08 -1.33 0.11 -0.65 0.16 -1.72 0.16 -2.45 0.11  0.00 0.00 -1.77 0.27
0410-51816-220 1.2546 0.0640 8.06 0.05 -1.46 0.07 -0.82 0.10 -1.65 0.11 -2.43 0.07 -3.46 0.43  0.00 0.00
0412-51931-038 1.4415 0.0692 7.89 0.05 -1.42 0.06 -0.86 0.08 -1.56 0.10 -2.40 0.07  0.00 0.00  0.00 0.00
0415-51810-486 0.9314 0.1633 8.43 0.20 -1.23 0.25 -0.78 0.42 -1.85 0.31 -2.51 0.25 -3.37 0.42 -2.04 0.41
0417-51821-513 1.2128 0.0350 8.11 0.03 -1.44 0.04 -0.74 0.06 -1.59 0.06 -2.37 0.04 -3.47 0.22 -1.94 0.19
0418-51817-302 1.2684 0.0386 8.04 0.03 -1.40 0.04 -0.71 0.06 -1.60 0.07 -2.34 0.04  0.00 0.00 -1.84 0.18
0429-51820-495 1.4633 0.0468 7.92 0.03 -1.26 0.05 -0.77 0.06 -1.67 0.09 -2.47 0.10  0.00 0.00 -1.67 0.20
0431-51877-191 1.1567 0.0846 8.12 0.07 -1.07 0.09 -0.71 0.15 -1.75 0.14 -2.36 0.09  0.00 0.00 -1.85 0.24
0439-51877-613 1.0686 0.1146 8.23 0.11 -1.39 0.14 -0.71 0.22 -1.61 0.19 -2.48 0.14  0.00 0.00 -1.94 0.34
0440-51885-151 1.0421 0.0340 8.30 0.04 -1.40 0.05 -0.72 0.07 -1.68 0.06 -2.59 0.05 -3.54 0.16 -2.21 0.21
0440-51885-158 1.7363 0.0437 7.65 0.02 -1.31 0.04 -0.63 0.04 -1.62 0.04 -2.24 0.04 -3.36 0.13  0.00 0.00
0440-51885-608 1.0050 0.1581 8.39 0.17 -1.19 0.22 -0.56 0.34 -1.56 0.25 -2.35 0.21  0.00 0.00  0.00 0.00
0441-51868-315 0.9834 0.1495 8.39 0.17 -1.41 0.21 -0.71 0.34 -1.60 0.27 -2.37 0.21  0.00 0.00  0.00 0.00
0442-51882-413 1.0429 0.1925 8.19 0.20 -0.97 0.25 -0.77 0.40 -1.61 0.29 -2.33 0.24  0.00 0.00 -1.80 0.39
0445-51873-404 1.2924 0.0230 8.07 0.02 -1.52 0.03 -0.77 0.04 -1.59 0.04 -2.31 0.03 -3.44 0.09 -2.12 0.14
0446-51899-086 1.0341 0.1031 8.33 0.11 -1.40 0.14 -0.72 0.21 -1.84 0.24 -2.55 0.14 -3.31 0.39  0.00 0.00
0446-51899-249 0.9523 0.0908 8.34 0.11 -1.30 0.14 -0.84 0.22 -1.60 0.18 -2.31 0.14  0.00 0.00 -2.00 0.28
0446-51899-283 1.0800 0.1377 8.23 0.13 -1.31 0.17 -0.67 0.26 -1.61 0.22 -2.49 0.17  0.00 0.00 -2.04 0.54
0447-51877-361 1.2053 0.0351 8.16 0.03 -1.38 0.04 -0.75 0.06 -1.73 0.07 -2.45 0.07 -3.60 0.27 -2.05 0.25
0450-51908-048 1.1083 0.1978 8.18 0.18 -1.21 0.23 -0.71 0.37 -1.73 0.31 -2.38 0.22  0.00 0.00 -1.99 0.53
0454-51908-062 1.1628 0.0392 8.16 0.03 -1.54 0.05 -0.78 0.07 -1.67 0.07 -2.31 0.06 -3.65 0.29 -2.15 0.23
